PMID	Target	Intervention	Effect on gene product	Model	Susceptibility observed	Inferred gene effect	Delivery	Species	pub_date	LastAuthor
29555825	FYN	AZD0530	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2018 Mar 19	Bai X
29622035	CCL17	Antibody	Inhibition	Collagenase	Protective	Detrimental	systemic	Mouse	2018 Apr 5	Cook AD
29622035	KDM6B	Antibody	Inhibition	Collagenase	Protective	Detrimental	Articular cavity	Mouse	2018 Apr 5	Cook AD
29622035	PTGS2	SC58128	Inhibition	Collagenase	No effect	No effect	systemic	Mouse	2018 Apr 5	Cook AD
29718273	FGF23	Antibody	Inhibition	HMWTg	Protective	Detrimental	systemic	Mouse	2018 Jun 1	Hurley MM
29784003	BRD2	I-BET151	Inhibition	Surgical - DMM	Protective	Detrimental	systemic	Mouse	2018 May 21	Jiang Q
29784003	BRD3	I-BET151	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 May 21	Jiang Q
29784003	BRD4	I-BET151	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 May 21	Jiang Q
29858052	mir-106a-5p	agomir	Overexpression	Surgical - ACLT	Protective	Protective	Articular cavity	Mouse	2018 Feb 8	Wang Y
29898872	EGFR	Gefitinib	Inhibition	Surgical - DMM	Protective	Detrimental	Articular cavity	Mouse	2018 Jun 11	Ouyang H
29920476	KL	Protein	exogenous	Collagenase	Protective	Protective	Articular cavity	Mouse	2018 Jun 19	Brondello JM
29922443	SIRT1	SRT1720	Activation	Surgical - DMM	Protective	Protective	systemic	Mouse	2018 May 5	Kuroda R
30031925	PRKAA1	berberine	Activation	Spontaneous	Protective	Protective	systemic	Mouse	2018 Jul 20	Liu-Bryan R
30070147	PRG4	Viral	Overexpression	Surgical - DMM	Protective	Protective	Articular cavity	Mouse	2018 Oct 17	Lee BHL
30106092	mir-204-5p	agomir	Overexpression	Surgical - DMM + ACL + MM	Protective	Protective	Articular cavity	Rat	2018 Aug 7	Li X
30144298	FLT4	Antibody	Inhibition	Surgical - DMM	Detrimental	Protective	Articular cavity	Mouse	2019 Jan 5	Xing L
30145794	mir-483-5p	Viral	Overexpression	Surgical - DMM	Detrimental	Detrimental	Articular cavity	Mouse	2018 Aug 26	Bai X
