gene_name	InjuryReconstruct.Day28vsInjury.Day28_log2FoldChange	InjuryReconstruct.Day28vsInjury.Day28_padj
ARMC12	0.46858351407037	1
	0.144479868540365	1
CLPS	-0.0179164945916931	1
LHFPL5	NA	NA
SRPK1	-0.0472677081293733	1
SLC26A8	0.270334427543334	1
MAPK14	0.0792004515656393	1
PNPLA1	-0.077088882127637	1
C6orf222	-0.105878542007444	1
ETV7	-0.0554628181179628	1
KCTD20	-0.011850708452527	1
STK38	0.0700173876008931	1
SRSF3	0.124466169494733	1
CDKN1A	0.982936004359337	0.758128690172311
RAB44	0.0919406572755005	1
CPNE5	0.258887902518085	1
PI16	-0.20748190137315	1
MTCH1	-0.128358500309612	1
FGD2	-0.205726817549503	1
PIM1	0.329985278432849	1
	NA	NA
TMEM217	NA	NA
TBC1D22B	0.244597151313093	1
RNF8	-0.125712084141019	1
CMTR1	0.25822992013886	1
MDGA1	0.00125898206789893	1
DNAH8	0.33669112672821	1
GLP1R	0.406369056452436	1
KCNK17	0	1
	0.235341700730054	1
DAAM2	-0.0142062959914339	1
	-0.21325426099624	1
LRFN2	-0.109615025103427	1
NFYA	-0.0231720393144468	1
	0.0547988429216396	1
TREML1	0	1
TREML2	-0.268619768933076	1
	-0.015873768311935	1
FOXP4	0.279918484690414	1
MDFI	0.29959285985005	1
TFEB	-0.350073171446133	1
FRS3	-0.11762905181359	1
PGC	0.391640611351015	1
USP49	0.119560410258215	1
	-0.302143655939883	1
GUCA1A	-0.423310125746895	1
GUCA1B	-0.440466083832159	1
MRPS10	-0.092355591594151	1
TRERF1	0.128328932314683	1
UBR2	0.117608131157428	1
BICRAL	0.241776927639002	1
PTCRA	NA	NA
CNPY3	-0.222493807595743	1
PEX6	-0.158773564260476	1
PPP2R5D	0.0014831033213043	1
MEA1	-0.308316385416723	1
RRP36	-0.254366491331963	1
CUL7	0.222460312723406	1
MRPL2	0.00180540402563563	1
KLC4	0.0318116353937653	1
PTK7	0.364557021927144	1
SRF	0.318735329249191	1
TTBK1	0	1
ZNF318	0.216332959465105	1
CRIP3	-0.198188315164364	1
LRRC73	0.177422774049848	1
XPO5	0.250902804898414	1
ABCC10	-0.12843348033697	1
DLK2	-0.196876914063988	1
POLH	0.0165305357312264	1
TJAP1	-0.0329143138149917	1
GTPBP2	0.233110928992843	1
RSPH9	-0.708300752277599	1
MRPS18A	-0.350841303458965	1
VEGFA	0.5141218483771	1
	-0.361135282266785	1
TMEM63B	0.0522516245170768	1
CAPN11	0.0571102263246102	1
SLC29A1	0.386583034294126	1
	-0.0730884606563221	1
SLC35B2	0.119288716706149	1
NFKBIE	0.12702938700906	1
TCTE1	0.0108516002910083	1
AARS2	0.0222192277803745	1
CDC5L	-0.0697212614706473	1
SUPT3H	-0.0707475043336921	1
RUNX2	0.277781353326733	1
ENPP5	0.10340522811217	1
RCAN2	0.0985253335283601	1
CYP39A1	-0.349278939740842	0.896463033460337
SLC25A27	-0.161237834448724	1
PLA2G7	0.112632343282259	1
	NA	NA
	0.131590874510713	1
