ID	WT.DMM.1wkvsWT.Sham.1wk_logFC	WT.DMM.1wkvsWT.Sham.1wk_padjFilter
Lamc3	-0.085412756610956	0.689461451287024
Etfdh	0.305037869037041	0.205194315367626
4930431F12Rik	0.0316895738808393	NA
Bmp4	-0.772922767380857	0.0168336151179566
Mgat4e	0.00900574331681404	0.974052530814255
Lsg1	-0.0564790669269294	0.91560215264316
Hif3a	-0.430426971227858	0.0789552333303795
Tmem191c	0.222981745336828	0.634116665581944
Gm8995	-0.256262525512441	0.554403852061796
Ogg1	-0.658917660495458	0.0180786908259996
Lepr	-0.100949812039831	NA
Ihh	-0.18464997246018	0.613681196658362
Sp3	0.0188665147640244	0.9177861464202
Rspo2	-0.106057877693182	NA
Adam30	-0.272939126638088	0.139358088949771
Uqcrc2	0.173547026069095	0.381044875305677
Dele1	-0.38277141311564	0.200041155782018
Dlx3	-0.240640429746031	NA
Fam168a	-0.552608338855928	0.262265026397829
9530068E07Rik	0.58743048349026	0.0397123352092805
Lncbate1	-0.0366693961306966	NA
9430077A04Rik	0.0496643878646475	NA
Bpifb4	-0.022500794502445	NA
Il10	-0.0136822364745957	0.970782154421222
Foxa2	0.306733890045176	0.698910142459608
Art1	1.27714483813311	0.0470136339412922
Arfrp1	0.68490104261166	0.00902202990173556
Foxo6	-1.54356845981791	0.0116117589506862
Ube4a	-0.0382356616880822	0.834531786419388
Sly	0.14591898871274	0.540040780966338
Fam118a	1.1247890409164	0.00324606476732233
Scn7a	-0.0204452136287842	NA
Ifi27l2a	-0.40643366684172	0.454878750347545
Ccdc121	0.367123298235487	0.500917759366773
Lct	0.0921826702512328	0.895598126742029
Vmn1r189	-0.0321767564991666	NA
Gm4894	0.293067375483742	0.537051844375842
Sdhaf2	0.179930610813069	0.325029567708346
Platr25	-0.217592937031883	NA
Spag9	0.493874651826328	0.015397061433552
Rtp3	-0.301604565372234	0.421640061726435
Rnf139	0.361953314926722	0.403827912859606
Nudcd1	0.643889445004866	0.0625873198891091
Fhad1	0.103721741421759	NA
Lrr1	-0.238134704999633	0.768266721946574
Vhl	-0.0262426165358296	0.944602872992677
E030030F06Rik	-0.0754571027827223	NA
