gene_name	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_log2FoldChange	Injured_C57BL_6_1_week_post_injuryvsUninjured_C57BL_6_1_week_post_injury_padj
Ndufa11	0.133217145369358	1
Bmp8b	-0.0525664554060234	1
Nr2f6	-0.140814760798957	1
Use1	0.00848427613597482	1
Ocel1	-0.00692338865859432	1
Dyrk1b	-0.108504556638882	1
Braf	-0.0577120306984782	1
Ndufb2	0.0361942609588374	1
Hltf	-0.0941559875474063	1
Prpf6	0.00839346663194158	1
Rgs19	0.105303416882149	1
Rgs20	0.0884903601207809	1
Abhd3	0.138365261942556	1
Snrpd1	0.122363847594418	1
Tchp	0.274873048981955	1
Tiam1	-0.0598051607167172	1
Tsc2	0.00073160792663283	1
Rpl3l	-0.0964036300699196	1
Slc9a3r2	-0.0417035175864868	1
Puf60	0.000673273399409153	1
Golga2	-0.215390202972658	0.964078885356795
Uck1	-0.0888526868438468	1
Scin	0.0510512072248785	1
Ikzf4	-0.123257590470884	1
Mien1	0.0952610260917361	1
Pon1	0.0847241344201972	1
Axl	0.186222284712772	1
Tgfb1	0.0469962307993932	1
Ccdc97	0.234076702272804	0.878884932291084
Zfp40	-0.475091290786469	0.996265365937314
Akap8l	0.136954278423655	0.926664188849809
Shh	-0.00515289497031977	NA
Pdcd2l	-0.137724355141944	1
Gtf2f1	0.160119016500025	0.65901827961947
Clpp	0.0250988854243697	1
Alkbh7	0.230906582376586	1
Pspn	-0.405148358988344	1
Dennd1c	0.0596895628183414	1
Med6	0.0560376738551123	1
Prkd1	-0.317365543693937	1
Lcp2	0.174652330994309	1
Cse1l	0.234834151550385	0.996591512706189
Naa20	0.124686990216913	1
Prkra	-0.0417846072182537	1
Fkbp7	-0.212125487401847	1
Plekha3	-0.0304430687021555	1
Ykt6	-0.0643915292743244	1
Baz1b	0.0691599223830423	1
Pex6	0.142341080982647	1
Mrpl2	0.0289801955292453	1
Mea1	0.005630386508865	1
Gnmt	0.264583893925301	1
Grin2d	-0.0938871135094365	1
Kdelr1	-0.108106964171142	1
Tmem143	0.0226464525755062	1
Pdxk-ps	-0.179350291788311	1
Ggct	-0.0677377188371323	1
Jag2	-0.278081677712294	1
Btbd6	0.0737647166186161	1
Nudt14	0.156262639768028	1
Epdr1	0.000549849586535467	1
Flii	0.0113093743177262	1
Top3a	0.00816494989560313	1
Atg4d	0.157148801800643	1
Qtrt1	0.135969225535368	1
Plin4	-0.087488018736499	1
Hdgfl2	0.0646449461357201	1
Chaf1a	0.230025005192189	1
