gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Naglu	0.035122103560819	1
Coasy	0.0149939365156491	1
Smo	0.135832891745642	1
Tspan33	-0.0840334464632837	1
Crnkl1	-0.101887765407842	1
Rin2	0.100066134172153	1
Folh1	0.895128062018559	0.927788753133657
Chordc1	0.0984195413348327	1
Rtcb	0.0802696406088533	0.93839830143375
Pwp1	0.0885292513895102	1
Fbxo7	-0.198265468486382	1
Capns1	0.145383190704988	0.528242458030049
Lrp3	-0.027633159996972	1
Dsg4	0	NA
Evx2	0.30263874100346	1
Hoxd13	0.163485021578043	1
Hoxd12	NA	NA
Folr1	-0.27380285716376	1
Clpb	-0.0811188325351989	1
Sept7	0.0792409474382749	0.817236429699067
Zdhhc4	0.0844711381769088	1
Rac1	0.14009989238872	0.074312417707442
Nup214	-0.328972192130304	1
Aif1l	0.142304325731388	1
Cpa3	-0.0101474934851247	1
Ltbp1	0.186866475169098	1
Ugp2	0.131882472264779	1
Kcnh6	0.0718780547907864	1
Trmt1	0.0260038530091974	1
Nacc1	0.0526380000549005	1
Nfix	0.193925159733243	0.916978481185556
Slc1a5	-0.207345942224332	1
Uba1	0.0259700125260436	1
Vwf	-0.0654052574507785	1
Siae	0.0126927937423054	1
Vsig2	0.0129694460839219	1
Esam	-0.108014693883948	1
Spa17	-0.0317904196566703	1
Fam50a	-0.0209233138589849	1
Emd	-0.134153776698734	0.988959922807311
Taco1	-0.192675214212493	1
Grik3	0.127721301216094	1
Gria3	-0.0628793660379007	1
Npas1	-0.728514034411119	1
Sipa1l2	0.0458699235797152	1
Ap4e1	-0.253428975884935	0.655848841676475
Blvra	0.0281032772457717	1
Pdzd4	0.0848867526115792	1
Srpk3	-0.191934733460364	1
Idh3g	0.0868669681538979	1
Pnck	-0.412973758524613	1
Ssr4	0.190722651334314	0.708937891479052
Bcap31	0.126453406063102	0.747149690296297
Fam98a	0.177182788881161	0.736707921049883
Ltbp2	0.664810748812069	0.587067083335023
Kmt2a	-0.171996131147474	0.844696653086114
Ift46	0.00451010057714024	1
Tmem25	0.178204701473702	1
Cd3g	0.110773468946086	1
Trappc6a	-0.338054966977082	1
Supt6	-0.133381788527948	0.238278078960245
Spag5	-0.151917176937566	1
Foxn1	-0.0135470738354677	1
Unc119	-0.249691948064918	0.787368147003256
Rab34	0.144411381451711	1
Sdf2	0.123511544877539	1
Ccne1	-0.239015312524819	1
Hsf2bp	-0.0828772488096922	1
Bbc3	-0.125881449749445	1
Mybpc3	0.202477738548972	1
Psmc3	0.0917736897095696	1
Acp2	-0.0166836482755306	1
Rapsn	0.303476401572101	1
Slc39a13	0.283431964955392	0.823977639069062
Celf2	0.0695437616958866	1
Nr1h3	0.118685087292589	1
Ddb2	0.0414985954307906	1
Spi1	-0.130018257954557	1
Sf3a1	0.0528080350670531	1
Stat6	0.0883509293707959	1
Clgn	-0.0436856176463919	1
Napsa	-0.0941422795522588	1
Vrk3	0.0331546170793275	1
Smg9	0.0764159895919803	1
Paxip1	0.167671056038315	1
Rmnd5a	-0.0978278577630239	1
Mov10	-0.0481087728268507	1
Ppm1j	-0.0338306481854216	1
Rhoc	0.183835806143245	1
Prr27	NA	NA
Tead3	0.309393242627339	1
Ppard	0.0638622782789567	1
Def6	-0.0322204376961613	1
Peg3	0.0337378773562271	1
Zim1	0.00573293607692997	1
Metrn	-0.0972212131303955	1
Lmf1	-0.154728852977676	1
Narfl	-0.0877122533648058	1
Angptl4	0.989493440747587	0.0450485858971307
Dbf4	-0.065615802609044	1
Daxx	-0.0307546019067482	1
Cd320	0.258632026261873	1
Ipo4	0.118954197473415	1
Tm9sf1	-0.0532385701911704	1
Rec8	-0.280233407642191	1
Irf9	-0.0621453278154993	1
Gmpr2	-0.132194341094867	1
Mdp1	-0.0257677796881377	1
Dhrs1	-0.0946810440380848	1
Ncan	0.65044082024318	1
Tmem161a	-0.0591376765722204	1
Armc6	0.0270169071855812	1
Borcs8	0.00982399705321998	1
Slc25a42	-0.0582633744756929	1
Snx9	0.0969808382336458	1
Ranbp3	-0.0962989930523751	1
Ndufa11	0.0825910147640784	1
Bmp8b	-1.35550580240204	0.505535223355586
Nr2f6	0.124842230233281	1
Use1	-0.0775705621590169	1
Ocel1	0.246721523349337	1
Dyrk1b	-0.042581174932067	1
Braf	-0.128536975414718	0.993896089119739
Ndufb2	-0.0707668334183286	1
Hltf	-0.0664530148411726	1
Prpf6	0.00947507166968873	1
Rgs19	0.118687398490888	1
Rgs20	0.0430145982268459	1
Abhd3	-0.376044439506161	1
Snrpd1	0.0355029896969967	1
Tchp	-0.190306572335404	1
Tiam1	-0.11522730313091	1
Tsc2	-0.0314022029563563	1
Rpl3l	-0.126525172828819	1
Slc9a3r2	-0.061265372070352	1
Puf60	-0.0198608179319016	1
Golga2	0.0236864256700036	1
Uck1	0.118526143222838	1
Scin	-0.370934050885334	0.55897403732355
Ikzf4	0.0114397704294171	1
Mien1	0.222059453626902	0.903438435849659
Pon1	-0.172991811861561	1
Axl	-0.213379368030931	0.813999126496962
Tgfb1	-0.089390819461526	1
Ccdc97	0.0611731002712949	1
Zfp40	0.0113911946294784	1
Akap8l	-0.0886051266152517	0.976832023857389
Shh	-0.00508486213733187	NA
Pdcd2l	-0.0621952896270274	1
Gtf2f1	0.033061015853202	1
Clpp	0.214013632704906	0.851410823830509
Alkbh7	0.172978193575687	1
Pspn	-0.420560116743732	1
Dennd1c	-0.222072767440725	1
Med6	0.100948594447931	1
Prkd1	0.25075739496814	1
Lcp2	-0.0932736944573903	1
Cse1l	0.0123124039686187	1
Naa20	0.0434665076994249	1
Prkra	0.131603726022952	1
Fkbp7	0.103770673577256	1
Plekha3	0.0691464626029255	1
Ykt6	0.0900424889207106	1
Baz1b	-0.1213388874311	0.734362370200006
