gene_name	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_log2FoldChange	Injured_MRL_MpJ_1_day_post_injuryvsUninjured_MRL_MpJ_1_day_post_injury_padj
Cse1l	0.0259261401386437	1
Naa20	-0.0208620785229858	1
Prkra	0.213380379396561	0.673445564209249
Fkbp7	0.286511495969965	0.714887747024395
Plekha3	0.146311489324645	0.96141715385704
Ykt6	0.0849399300519398	0.844546458952218
Baz1b	-0.0471801096909729	1
Pex6	-0.124728758663129	0.911658204420116
Mrpl2	-0.105570959525074	0.966303006390909
Mea1	-0.0379692982560218	1
Gnmt	0.0990577185857826	1
Grin2d	0.438394923839888	0.581010353283195
Kdelr1	0.175982854453014	0.712820272813155
Tmem143	-0.258699343106308	0.854540937457755
Pdxk-ps	0.556201503711779	0.895701887440468
Ggct	-0.0448100934573718	1
Jag2	-0.146773559283834	1
Btbd6	-0.067317017387267	1
Nudt14	-0.239668178870038	0.729032704912433
Epdr1	-0.382531405463007	0.070201355136975
Flii	0.0384618978623803	1
Top3a	-0.0994069594527971	1
Atg4d	-0.134836301691644	0.86474037077702
Qtrt1	0.127671815120011	1
Plin4	0.173181784728348	0.966572441265957
Hdgfl2	0.0173478453313289	1
Chaf1a	0.0935049725108868	1
Adprh	-0.0638700400736262	1
Tmem39a	0.0946488851419173	1
Timmdc1	-0.0561868692083251	1
Pla1a	-0.881650014096613	0.0779270739767609
Mcm2	-0.129465973125742	1
Tpra1	-0.00802084579961702	1
Nab1	-0.00308838484629624	1
Adgre5	0.0409957771194827	1
Il17ra	0.0483968538858889	1
Lamb1	0.257190674827418	0.961165498649954
Kcnn1	-0.250093815597506	1
Arrdc2	-0.310407000183582	0.715491828347463
Ppp1r17	0	NA
Cd36	-0.0995040349866146	1
Map2k7	0.110952031289223	1
Timm44	-0.0461528661000742	1
Ap2a2	0.0427576647925147	1
Pnkp	-0.0890735869478206	1
Med25	0.132209572265707	0.965691395372074
Bcam	-0.287993838650094	0.610120786171678
Clptm1	0.0195599538894695	1
Relb	0.36736704049733	0.104079393576331
Tomm40	0.129873320134894	1
Apoe	0.191599387756907	0.785855520444973
Apoc2	0.754329345338561	0.565682833581592
Hbp1	0.108159490569982	0.742093460354806
Prkar2b	-0.0846995874127005	1
Cdkn1b	-0.10438598041786	0.855157195580276
Klf4	-0.143448108589887	0.936556601641827
Ap1m1	0.036975148504639	1
Rab8a	0.0220617182246068	1
Hmgn2	-0.056810763501543	1
Fam32a	-0.0583936733252424	0.987949079710812
Elf3	-0.624707176482548	0.855157195580276
Cyp2c29	0	NA
Stard3nl	0.20248497022737	0.671268740821451
Stk11	-0.0536126277468503	1
Efna2	0.201386772917461	1
Atp5d	-0.246384235684477	0.613039332100386
Ppp5c	-0.0561248288603737	1
Cdk12	-0.00193139105231757	1
Lipe	-0.101919109512615	1
Pafah1b2	0.145407857102443	0.848305754602221
Tbc1d8	-0.104421748003299	1
Cnot11	-0.102613342050532	1
Slc2a3	-0.0959408476460053	1
Foxj2	-0.0489244781811853	1
Sri	-0.0281759228029873	1
Dgcr2	0.130103662780172	0.882737744875984
Irf3	0.159479871076924	0.829278245682794
Bcl2l12	0.0170424163926961	1
Zfp959	-0.0756487172081794	1
Mpnd	-0.211821939928384	0.772386685950987
Sh3gl1	0.0793889163494187	1
Ebi3	0.098549925265567	1
Yju2	0.148696920762378	0.768630482389385
Ranbp2	0.0940952283787624	0.700220408228437
Edar	-0.0833336795475226	1
Grk5	0.228052931895012	0.228811540016142
Dvl3	-0.00726609696214923	1
Abcf3	-0.109489206493239	1
Eif2b5	-0.0159725321927635	1
Cyth2	-0.0170318370178449	1
Sult2b1	0.626511359948036	0.938998883533089
Car11	0.17653043132406	1
Dlgap1	-0.131477306438967	1
Plag1	-0.0258308966968916	1
Hck	-0.112562514203277	0.957389418613652
Mrpl4	0.0991899084601677	0.973928791014859
Keap1	0.0197243739492512	1
Ap1m2	-0.86201561573574	0.555280351360612
Glg1	0.188217278099934	0.424391899834347
Atp8b3	0.126845051131787	1
Btbd2	-0.0512829630437415	1
Csnk1g2	-0.135019221876418	0.704232727820461
Abhd17a	-0.075026237810224	1
Mob3a	0.0244844577272854	1
Cacnb3	0.00329922265877935	1
Ccdc65	-0.099834510617549	1
Fkbp11	0.794007208861395	0.0188910384091258
Ddx23	0.0550685292253172	1
Pld3	-0.0180648341993108	1
Grik5	-0.0120003210393881	1
Cd79a	-0.0633395115151367	1
Rabac1	0.0186585034334624	1
Etv3	0.19979856417123	0.172509374574737
Prkcsh	0.13577011948826	0.65142088455308
Elavl3	-0.0737197720165305	1
Rab3b	-0.817687371284049	0.639582079863054
St8sia6	0.0896949665895651	1
Fcgrt	-0.0547346485977882	1
Nosip	-0.0231858437716199	1
Pih1d1	-0.0441168280613803	1
Rps11	0.0103465016126487	1
Supt5	0.0250165826866366	1
Dll3	0.305882142073036	1
Paf1	0.055948112072267	1
Timm50	-0.0055362517747141	1
Med29	0.0614877942368672	1
Bicd1	-0.115601073441947	1
Ncstn	-0.052330152802671	1
Pex19	-0.378289040010954	0.17009479943982
Phyhip	-0.232786402585455	0.916509922247681
Crhr2	-0.252066506998585	0.980369287578807
Inmt	-1.01117829156032	0.255750371929552
Cyp4f18	0.115331160766831	1
Impdh1	0.250687770105113	0.380623059854329
Psg18	NA	NA
Dusp3	-0.130228091716835	0.964231601018436
Prodh	-0.318768812639747	0.484960710341824
Ess2	0.0153493077932839	1
Slc25a1	0.00513634169930685	1
Dgcr6	-0.215599999492473	0.628772852471513
Ddr1	0.325741282464233	0.689666649078003
Ier3	0.569690198464161	0.193142689447917
Fosb	-0.0626898991772975	1
Klc4	-0.0483072118309525	1
Ercc1	0.387268380586345	0.628772852471513
Cyp17a1	0.121918112884162	1
As3mt	-0.0368346043837487	1
Homer3	0.0528460766820324	1
Crtc1	0.415355522335882	0.434134023178509
Rnf215	0.0757107805470643	1
Sec14l2	-0.0954709014968857	1
Aven	0.0125307371859238	1
Cp	0.11904777763957	1
Crot	-0.233755920971331	0.12618728352759
Rps6ka1	-0.0920606780567685	1
Calb2	-0.219084984583961	1
Snrnp200	0.164116413953979	0.486583956119499
Ciao1	-0.177063513184863	0.637207131110996
Has1	1.26293748248896	0.0525959441379195
Taf6l	0.0560695109156655	1
Insig2	-0.260536098813319	0.535833346709455
Kpna6	0.0375540596937844	1
Man1a	0.0611013297642618	1
Itpkc	0.129723929707856	1
Coq8b	0.463825382465077	0.0910492442227874
Brd8	-0.0122015996271021	1
Kif20a	-0.123337539544537	0.907534292060302
Farsa	-0.100789311393776	0.928105017877329
Gcdh	-0.0523000387206968	1
Mast2	-0.177057272932827	0.679610737170324
Dnase2a	-0.0930319517201498	1
Rad23a	-0.0655365195848451	1
Calr	0.28622943827792	0.0670536523851862
Syce2	-0.0843870650833918	1
Nfat5	0.127617031984529	0.636428838268406
Nob1	0.0816377610697598	1
Nqo1	0.148270697933237	0.905349844065023
Ppfia3	0.575957039163548	0.846248350955113
Gys1	-0.515325364344534	0.0766898716945444
Ruvbl2	0.0871252605771852	1
Lin7b	-0.712134888274321	0.78297036671353
Bax	0.320164867956986	0.557415103228633
Il7r	-0.0937097378965089	1
Tfam	-0.253388520191557	0.368582592006158
Zfp81	0.104608227899975	0.919751935476749
Efnb3	-0.0462309727242057	1
Mmd	-0.021940681417455	1
Hlf	-0.427736184108546	0.578548515007272
Fam162a	-0.0140126542640435	1
Rpl8	-0.0385330948050617	1
Grm3	0	NA
Ssbp2	-0.0953230494827897	1
Fancl	-0.167965430878422	0.966305042077297
Brinp2	0.0736190591313684	1
Gstm5	-0.0836925629030874	1
Gstm7	-0.043107444383972	1
Gstm3	-0.0443525767164017	1
Stat3	0.377726729822826	0.0201988988833011
Stat5a	0.222931038874361	0.59750807568444
Cavin1	0.141257730690511	0.941453528634223
Map3k11	0.0318310273512096	1
Akt2	-0.158581017665449	0.725238417181674
Dnaja3	-0.090328060479693	1
Hmox2	0.0838951106285393	1
Cdip1	-0.14911669961757	0.883096317835228
Map3k20	0.0291627137694984	1
Cwc15	-0.0119293745021848	1
Col5a3	0.650724105979096	0.246322464590132
Dnmt1	-0.00196677895436487	1
Ppan	0.343780340948077	0.21193954575562
Angptl2	0.215089695994576	1
Cacna1e	0.00706328414226659	1
Cacna1b	0.319219470771929	1
Trmt10a	0.0254023351013474	1
Etv1	0.00975920705505669	1
Kifc2	0.0173178806345871	1
Psap	0.00595196044433652	1
Ikbkg	-0.0363597690665257	1
Pax2	-0.152777676561777	1
Wars2	0.235850016139973	1
Atn1	0.0357409870739011	1
Phb2	-0.0381755507977199	1
Ptpn6	0.0451302105436487	1
Eno2	-0.0376760106909323	1
Emg1	-0.0634412223644593	1
Lpcat3	0.0755656072361224	1
Atp6v1f	0.0221757328960437	1
Il12b	0.12822403344797	1
Clcn5	0.516767587312127	0.171918764524449
Clcn3	-0.0342345716555994	1
Hif3a	-0.917936500861098	0.313254140393518
Gpx6	0	NA
Gpx5	-0.00815647205909189	NA
Pde1c	0.347752761132154	0.840775227852218
Utp20	0.377523803877089	0.261149056882262
Spic	-0.164185113685099	0.92430824228829
9330159F19Rik	-0.588223994903463	0.125937323934895
Cul3	-0.20033685740592	0.639582079863054
Sst	0	NA
Il11	2.08932105804676	0.000243759225768578
Large1	0.118269219876228	0.978328811849658
Ddx56	0.0202169281857145	1
Tmed4	-0.0476962798970329	1
Col26a1	-0.252317966222485	1
