gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
Slc39a13	0.10028674349749	1
Celf2	0.0505660379811913	1
Nr1h3	0.183100175997712	1
Ddb2	0.0812866583077278	1
Spi1	0.169806298892812	0.937521336216396
Sf3a1	0.114981079944265	0.926991989052443
Stat6	0.08053561384954	1
Clgn	0.904207692936699	0.628853281046543
Napsa	0.249132553438619	0.783121179640118
Vrk3	-0.027265087767184	1
Smg9	0.147905880385354	1
Paxip1	0.242078633420258	0.873004364884988
Rmnd5a	-0.223833688574818	0.703235109475761
Mov10	0.203377074065969	1
Ppm1j	-0.192708656676715	1
Rhoc	0.1312770982523	1
Prr27	NA	NA
Tead3	-0.127218527656421	1
Ppard	0.00513202696662261	1
Def6	0.133393912635528	1
Peg3	0.140630763844576	1
Zim1	0.571305274970245	0.785314639523543
Metrn	0.262417233108263	0.960546305277311
Lmf1	-0.158213151557442	1
Narfl	-0.200062116587045	1
Angptl4	0.454132437494439	0.869471652874408
Dbf4	-0.00570772571453848	1
Daxx	0.214967076716732	1
Cd320	-0.217035610899069	1
Ipo4	0.260860785254689	1
Tm9sf1	0.260093869037381	0.73082717470825
Rec8	0.136317272714076	1
Irf9	0.00186558405356281	1
Gmpr2	0.279749991927131	0.907653065807263
Mdp1	-0.0333383498264991	1
Dhrs1	0.021446954779193	1
Ncan	0.190423663852668	1
Tmem161a	0.0138822220213286	1
Armc6	0.116094892682786	1
Borcs8	0.16686656308874	0.871125526951561
Slc25a42	0.0508792560461185	1
Snx9	0.10347901834332	1
Ranbp3	0.0207971373024407	1
Ndufa11	-0.369342702776175	0.631304034297005
Bmp8b	-0.385110205341218	1
Nr2f6	-0.299493021471983	1
Use1	0.0652353302337258	1
Ocel1	0.625248411425429	0.137727415919125
Dyrk1b	0.187448485190667	1
Braf	0.0243896070452974	1
Ndufb2	-0.132596465621047	1
Hltf	-0.0631332906639823	1
Prpf6	-0.0205485689590831	1
Rgs19	0.0966237845713104	1
Rgs20	0.608534835613864	0.92709127530477
Abhd3	0.0309250688157477	1
Snrpd1	0.0910412735656737	1
Tchp	0.11527981300199	1
Tiam1	0.0400294935507356	1
Tsc2	-0.209562636438343	0.871125526951561
Rpl3l	-0.331006443289385	0.874752257934695
Slc9a3r2	-0.188940630078292	0.897904867655191
Puf60	-0.101534887067261	1
Golga2	-0.0179119552518189	1
Uck1	0.18145600591544	1
Scin	0.0987061284122572	1
Ikzf4	0.121831602487846	1
Mien1	0.188360568760457	0.968316566533621
Pon1	-0.277484903821636	1
Axl	0.147619992993382	1
Tgfb1	-0.155280784189599	1
Ccdc97	0.160161667974533	0.899558579527465
Zfp40	-0.452463726629257	0.814432944280863
Akap8l	-0.0524962548114571	1
Shh	0	1
Pdcd2l	0.127157425349598	1
Gtf2f1	0.0300112754637654	1
Clpp	-0.0508599034442214	1
Alkbh7	0.0129428101274978	1
Pspn	-0.754230011779331	0.976196367125154
Dennd1c	0.0286354970334279	1
Med6	0.174785788732024	0.897904867655191
Prkd1	0.319110647877216	0.916636420403397
Lcp2	0.0699235702629192	1
Cse1l	-0.161223693702435	0.965325564054502
Naa20	-0.211273384252688	0.641776232412156
Prkra	0.264974123941012	0.783121179640118
Fkbp7	0.402255598657106	0.71726695716718
Plekha3	0.242653644475205	0.897904867655191
Ykt6	0.0160228872580166	1
Baz1b	0.0301218017814835	1
Pex6	0.110574978877406	1
Mrpl2	-0.0817431862998401	1
Mea1	0.0282639829651105	1
Gnmt	-0.458189874333704	1
Grin2d	0.0520669148351539	1
Kdelr1	0.068249661342132	1
Tmem143	-0.459935401853452	0.69259639368789
Pdxk-ps	0.0604042924184305	1
Ggct	0.0443411911273805	1
Jag2	-0.0673505950275341	1
Btbd6	-0.131799662900485	1
Nudt14	-0.229662659141578	0.957672548070377
Epdr1	-0.165916710686079	0.999896069756711
Flii	0.0577868126691493	1
Top3a	0.0177701976916435	1
Atg4d	-0.0631270200482519	1
Qtrt1	-0.0669646873748128	1
Plin4	-0.286702683729927	0.897904867655191
Hdgfl2	0.0480137996306994	1
Chaf1a	0.248760664198165	0.747882343899957
